	Smiles String	agg
297	CCOC(=O)CNC(=O)C1=CN(C(=O)c2ccccc12)c3ccc(C)c(C)c3	NONAGG
298	Oc1ccc(cc1)\N=C\c2cc(ccc2O)[N+](=O)[O-]	NONAGG
300	[O-][N+](=O)c1ccccc1C(=O)Nc2nc(cs2)c3ccc4ccccc4c3	AGG
301	Clc1ccc(cc1)c2csc(n2)\C(=C\c3cccnc3)\C#N	NONAGG
302	Clc1ccc(cc1)c2csc(NC(=O)c3cccc(Cl)c3)n2	AGG
303	[O-][N+](=O)c1ccc(N\N=C\c2ccc(Cl)cc2)c(c1)[N+](=O)[O-]	NONAGG
304	Oc1ccc2ccccc2c1\C=C\3/C(=O)Nc4ccccc34	NONAGG
305	Oc1ccc(Br)cc1\C=N\NC(=O)c2ccc(Cl)cc2Cl	AGG
306	CC(C)(C)c1ccc(cc1)c2nnc(NC(=O)c3cccs3)s2	AGG
307	COC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2)C(=O)OC)C	NONAGG
308	COc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-]	NONAGG
309	[O-][N+](=O)c1ccc2NC(=O)C(=C(c3ccccc3)c2c1)C(=O)\C=C\c4ccccc4	AGG
310	COc1ccc(cc1)N=Nc2c(O)ccc3ccccc23	NONAGG
311	Oc1ccc(cc1)\N=C\c2ccc(cc2)[N+](=O)[O-]	NONAGG
312	Oc1ccc(Cl)cc1\C=N/NC(=O)c2cccs2	AGG
313	Clc1ccccc1c2nnc(NC(=O)c3cccs3)s2	AGG
314	CCOC(=O)C1=C(C)NC(=C(C1c2oc(cc2)c3ccc(Cl)cc3)C(=O)OCC)C	AGG
315	Clc1ccc(cc1)C2=N\C(=C/Nc3ccc(Br)cc3)\C(=O)O2	NONAGG
316	Oc1ccc(Br)cc1\C=N\NC(=O)c2cc(cc(c2)[N+](=O)[O-])[N+](=O)[O-]	AGG
317	CN(C)c1ccc(Sc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1	AGG
318	Oc1ccc(N=Nc2ccc(cc2)[N+](=O)[O-])c3ccccc13	AGG
320	Oc1ccccc1\C=N\NC(=O)c2cccc(c2)[N+](=O)[O-]	AGG
321	[O-][N+](=O)c1ccc(NN=C2C(=O)c3ccccc3C2=O)c(c1)[N+](=O)[O-]	AGG
322	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C	NONAGG
323	Brc1ccc(cc1)c2nnc(NC(=O)c3cccs3)s2	AGG
324	Cc1ccccc1Nc2nc(cs2)c3ccc(Cl)cc3	AGG
326	Cc1ccc(cc1)c2csc(Nc3ccccc3Cl)n2	AGG
327	Clc1ccc(Sc2ccccc2\C=C/3\SC(=O)NC3=O)cc1	AGG
328	Oc1ccc2ccccc2c1C=C3C(=O)NC(=O)NC3=O	NONAGG
330	Oc1ccccc1\C=N\NC(=O)C(=O)N\N=C\c2ccccc2O	AGG
331	COc1ccc(\C=N\Nc2nc(cs2)c3ccc(Cl)cc3)cc1	AGG
332	COC(=O)C1=C(C)NC(=C(C1c2ccc(Cl)cc2Cl)C(=O)OC)C	NONAGG
333	CC(C)(C)c1cc(Cl)c(O)c(c1)\N=C\c2ccccc2O	NONAGG
334	Oc1c(Cl)cc(Cl)cc1\C=N\NC(=O)c2cccc(c2)[N+](=O)[O-]	AGG
335	[O-][N+](=O)c1cccc(\C=C\C2=N\C(=C\Nc3ccc4ccccc4c3)\C(=O)O2)c1	AGG
336	COC(=O)c1cc(N\N=C\2/C(=O)C=Cc3ccccc23)cc(c1)C(=O)OC	NONAGG
337	Clc1ccc(COc2ccc(\C=C/3\NC(=S)NC3=O)cc2)c(Cl)c1	NONAGG
338	Oc1ccccc1\C=N\N=C\C=C\c2ccccc2	AGG
339	Oc1ccccc1\C=N\N=C/2\C(=O)Nc3ccccc23	NONAGG
340	Oc1ccc(cc1\C=N\NC(=O)c2cccs2)[N+](=O)[O-]	NONAGG
341	Cc1ccc(cc1)c2csc(n2)\C(=C\c3cccc(c3)[N+](=O)[O-])\C#N	NONAGG
342	COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)O)C	NONAGG
343	Oc1ccc(Br)cc1\C=N\NC(=O)c2cccc(Cl)c2	AGG
344	CN(C)c1ccc(\C=C(/NC(=O)c2ccccc2)\C(=O)N\N=C\c3ccccc3O)cc1	AGG
346	OC1=NC(=NC(=O)/C/1=C/c2ccc(O)cc2)S	NONAGG
347	Brc1ccc2NC(=O)\C(=N/c3ccc4ccccc4c3)\c2c1	AGG
348	Oc1ccccc1\C=N\n2c3ccccc3c4ccccc24	AGG
350	Brc1ccc(cc1)c2csc(N\N=C\c3ccccc3)n2	AGG
351	Oc1ccc2ccccc2c1\C=N\c3ccc(C=C)cc3	AGG
352	CC1=C(C(NC(=O)N1)c2cccc(c2)[N+](=O)[O-])C(=O)OCc3ccccc3	NONAGG
353	Cn1cc(\C=N/NC(=O)c2cccs2)c3ccccc13	NONAGG
354	CC1=NN(C(=O)/C/1=N/Nc2cccc(c2)C(=O)O)c3nc(cs3)c4ccc(Cl)cc4	NONAGG
355	Oc1ccc(cc1)\N=C\2/C(=O)Nc3ccccc23	NONAGG
356	[O-][N+](=O)c1ccc(\C=N\NC(=O)c2cc(n[nH]2)c3ccc(OCc4ccccc4)cc3)cc1	AGG
357	O=C(N\N=C\c1cccc(OCc2ccccc2)c1)c3cccs3	AGG
358	Ic1ccc(cc1)c2csc(NC(=O)\C=C\c3ccccc3)n2	AGG
359	O=C(Nc1nc(cs1)c2ccc3ccccc3c2)c4ccccc4	AGG
360	CN(C)c1ccc(\C=N\Nc2nc(cs2)c3ccc(Br)cc3)cc1	AGG
361	OC(=O)c1ccc(cc1)\N=C\c2cc(Br)ccc2O	NONAGG
362	[O-][N+](=O)c1ccc(cc1)c2csc(N\N=C\c3ccccc3)n2	AMBIG
363	Oc1ccc(Br)cc1\C=C\2/C(=O)Nc3ccccc23	AGG
364	CC(=O)Nc1ccc(N\N=C\2/C(=NN(C2=O)c3nc(cs3)c4ccc(Cl)cc4)C)cc1	NONAGG
365	Oc1ccccc1\C=N\NC(=O)COc2ccc(Cl)cc2	AGG
366	O=C(N\N=C\c1c[nH]c2ccccc12)c3cc(n[nH]3)c4ccc(OCc5ccccc5)cc4	AGG
367	Oc1c(Br)cc(Br)cc1\C=N\NC(=O)c2cccs2	AGG
368	Brc1ccc(cc1)c2csc(NC(=O)c3cccs3)n2	AGG
369	O=C(Nc1nc(cs1)c2ccc3ccccc3c2)c4cccs4	AGG
370	[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc(cs2)c3ccc(Cl)c(Cl)c3	AGG
371	Clc1ccc(\C=N\NC(=O)c2cccs2)c(Cl)c1	NONAGG
372	CC1=NN(C(=O)/C/1=N/Nc2ccc(cc2)C(=O)O)c3nc(cs3)c4ccc(C)cc4	NONAGG
373	CCCCCCc1cc(\C=C\2/C(=O)Nc3ccccc23)c(O)cc1O	AGG
375	[O-][N+](=O)c1ccc(Cl)c(c1)C2=N\C(=C/c3ccc(Br)cc3)\C(=O)O2	NONAGG
376	[O-][N+](=O)c1cccc(\C=C(/NC(=O)c2cccs2)\C(=O)Nc3ccccc3Br)c1	AGG
377	Oc1ccc2ccccc2c1\C=N\NC(=O)c3cc(n[nH]3)c4ccc5ccccc5c4	AGG
378	Clc1ccc(cc1)c2cc([nH]n2)C(=O)N\N=C\c3c[nH]c4ccccc34	AGG
379	Oc1ccccc1\C=N\NC(=O)c2cc(n[nH]2)c3ccc(Cl)cc3Cl	AGG
380	Clc1ccc(COc2ccc(C=C3C(=O)NC(=O)NC3=O)cc2)cc1	NONAGG
381	Clc1ccc(NC2=NC(=O)\C(=C/3\C(=O)Nc4ccccc34)\S2)cc1	AGG
382	COC(=O)C1=C(C)NC(=C(C1c2oc(cc2)c3cc(Cl)ccc3Cl)C(=O)OC)C	AGG
383	CC(C)(C)c1cc(C=C2C(=O)NC(=O)NC2=O)cc(c1O)C(C)(C)C	AGG
385	Oc1ccc(\C=C\2/C(=O)ON=C2c3ccc(Cl)cc3)cc1	AGG
386	Oc1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1	AGG
387	OC(=O)c1ccc(cc1)\N=C\c2ccc(OCc3ccccc3)cc2	NONAGG
388	Oc1ccc(Br)cc1\C=N\NC(=O)c2cc(n[nH]2)c3cccs3	AGG
389	Oc1ccc(Br)cc1\C=N\NC(=O)C2=NNC(=O)C=C2	NONAGG
390	[O-][N+](=O)c1ccc(NNC(=O)c2cccs2)c(c1)[N+](=O)[O-]	NONAGG
391	Clc1ccc(CN2C(=O)N\C(=C/c3ccc(OCc4ccccc4)cc3)\C2=O)cc1	AGG
392	CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Oc3ccccc3)c2)C(=O)OCC)C	AGG
393	CCOC(=O)c1ccc(cc1)c2oc(\C=C\3/C(=O)Nc4ccc(Br)cc34)cc2	NONAGG
394	Cc1cccnc1Nc2nc(cs2)c3ccc(O)c(O)c3	AGG
395	Clc1ccc(COc2ccc(cc2)C(=O)N\N=C\c3c[nH]c4ccccc34)cc1	AGG
396	Brc1ccc(OCC(=O)N\N=C\c2ccc(OCc3ccccc3)cc2)cc1	NONAGG
397	Oc1ccccc1\C=C(/NC(=O)c2ccccc2)\C(=O)N\N=C\c3ccc(cc3)[N+](=O)[O-]	AMBIG
398	Oc1ccc(\C=N\NC(=O)CSc2nnc(c3ccc(Cl)cc3)n2c4ccccc4)cc1O	AGG
399	Clc1ccc(cc1)\N=C/2\C(=O)Nc3ccc(Br)cc23	AGG
400	Oc1ccc(Cl)cc1\C=C\2/C(=O)NC(=S)N(C2=O)c3cccc(Br)c3	NONAGG
402	CN(C)c1ccc(\C=C\2/C(=NN(C2=O)c3nc(cs3)c4ccc(Cl)cc4)C)cc1	AMBIG
403	OC(=O)COc1ccc(Br)cc1\C=C\2/C(=O)Nc3ccc(Br)cc23	AGG
404	NS(=O)(=O)c1ccc(Nc2nc(cs2)c3ccc(O)c(O)c3)cc1	AGG
405	Oc1c(\C=N\c2ccc3c(oc4ccccc34)c2)cc(Br)cc1[N+](=O)[O-]	AGG
406	Cc1ccc(OCc2ccc(cc2)C(=O)N\N=C\c3ccccc3O)cc1	AGG
407	[O-][N+](=O)c1ccc2NC(=O)\C(=N\N=C/c3ccccc3)\c2c1	NONAGG
408	[O-][N+](=O)c1cc(\C=N\NC(=O)c2cccs2)ccc1Cl	AGG
409	OC(=O)c1ccc(cc1)N2C(=Nc3ccccc3C2=O)C=C4C(=O)Nc5ccccc45	NONAGG
410	Oc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1Br	NONAGG
411	Clc1ccc(Sc2oc(\C=C/3\NC(=O)NC3=O)cc2Br)cc1	AGG
412	COC(=O)C1=C(C)NC(=C(C1c2cccc(O)c2)C(=O)OC)C	NONAGG
414	CCOc1ccc(\C=C/2\C(=O)Nc3ccccc23)cc1	AGG
415	CN(C)c1ccc(\C=C(\NC(=O)c2ccccc2Cl)/C(=O)N\N=C\c3ccccc3O)cc1	AGG
417	Oc1ccc(Br)cc1\C=N\c2cccc3ccccc23	AGG
418	[O-][N+](=O)c1ccc(Cl)c(\C=N\NC(=O)c2cccs2)c1	AGG
419	O=C(Nc1nnc(CSCc2ccccc2)s1)c3cccs3	AGG
420	CC(C)Oc1ccc(cc1)c2cc([nH]n2)C(=O)N\N=C\c3ccccc3O	AGG
421	OC(=O)c1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1	NONAGG
422	[O-][N+](=O)c1cccc(COc2ccc(C=C3C(=O)NC(=O)NC3=O)cc2Br)c1	AGG
423	CCOc1ccc(Br)c(\C=C\2/C(=O)Nc3ccc(Br)cc23)c1	AGG
424	Cn1cc(C(=O)N\N=C\c2ccccc2O)c3ccccc13	AGG
425	[O-][N+](=O)c1cccc(c1)C(=O)Oc2ccc(\C=N\NC(=O)c3cccc(Br)c3)cc2	AGG
426	[O-][N+](=O)c1ccc(N\N=C\c2ccc3NCCCc3c2)c(c1)[N+](=O)[O-]	AGG
427	CC1(C)CC(=O)C(=CNc2ccc(Oc3ccc(Br)cc3)cc2)C(=O)C1	NONAGG
428	Oc1ccc(\C=N\NC(=O)c2cc(n[nH]2)c3ccc4ccccc4c3)cc1O	AGG
429	CC1(C)CC(=O)C2=C(C1)Nc3ccccc3NC2c4cccc(c4)[N+](=O)[O-]	NONAGG
430	CN(C)c1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1	AGG
431	Clc1ccc(cc1)c2csc(NCc3ccccc3)n2	AGG
432	[O-][N+](=O)c1ccccc1N2C(=Nc3ccccc3C2=O)\C=C\4/C(=O)Nc5ccccc45	NONAGG
433	Brc1ccc2NC(=O)\C(=C/c3cccc(OCC=C)c3)\c2c1	AGG
434	O=C1Nc2ccccc2/C/1=C/NCCc3ccccc3	NONAGG
435	Clc1ccc(COc2ccc(\C=N\NC(=O)C(=O)Nc3cccc(Br)c3)cc2)cc1	AGG
437	Oc1ccc(Cl)cc1\N=C\c2cccc(c2)[N+](=O)[O-]	NONAGG
438	[O-][N+](=O)c1ccc(Cl)c(\C=N\NC(=O)c2cc(n[nH]2)c3ccc4ccccc4c3)c1	AGG
439	Clc1ccc(COc2ccc(Br)cc2C=C3C(=O)NC(=O)NC3=O)cc1	AGG
440	CC1=NOC(=O)/C/1=C/c2ccc(OCc3ccc(Cl)cc3)cc2	AGG
441	CC1=C(C(C(=C(C)N1)C(=O)OCC=C)c2cccc(c2)[N+](=O)[O-])C(=O)OCC=C	AGG
442	Oc1ccc2ccccc2c1\C=N\S(=O)(=O)c3ccc(Cl)cc3	NONAGG
443	CSc1ccc(\C=C\2/C(=O)Nc3ccc(Br)cc23)cc1	AGG
444	Clc1ccc(CN\C=C\2/C(=O)Nc3ccccc23)cc1	AGG
445	[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Oc2ccc(cc2)C(=O)OCc3ccccc3	AGG
446	Oc1c(I)cc(I)cc1\C=N\c2ccc(cc2)[N+](=O)[O-]	AGG
447	Oc1ccc(cc1\C=N\c2ccc3nc(oc3c2)c4ccc5ccccc5c4)[N+](=O)[O-]	NONAGG
448	Oc1ccc(\C=N\NC(=O)c2cc(n[nH]2)c3ccc(OCc4ccccc4)cc3)cc1	AGG
449	Cn1cc(C=C2C(=O)NC(=S)NC2=O)c3ccccc13	AGG
450	Oc1ccccc1\C=N\N=C\2/NC(=O)C(Cc3ccc(Cl)cc3)S2	AGG
451	CC1=C(C(C(=C(C)N1)C(=O)OCC=C)c2cccc(Cl)c2)C(=O)OCC=C	AGG
452	NC(=N)Nc1nc(cs1)c2ccc(O)c(O)c2	AGG
453	COc1cc(\C=C\2/C(=O)Nc3ccc(Br)cc23)cc(Cl)c1O	AGG
454	Cc1ccc(CN\C=C\2/C(=O)Nc3ccccc23)cc1	NONAGG
457	Oc1ccc(Cl)cc1\N=C\c2cc(Cl)cc(Cl)c2O	NONAGG
458	Oc1ccc(Cl)cc1\N=C\c2ccc(Cl)c(c2)[N+](=O)[O-]	NONAGG
459	Oc1ccc(Br)cc1\C=N\c2cccc3C(=O)NNC(=O)c23	AGG
460	[O-][N+](=O)c1cccc(c1)C2Nc3ccc(Cl)cc3C4C=CCC24	AGG
461	[O-][N+](=O)c1cccc(\C=C\2/N=C(OC2=O)c3ccc(Cl)c(Cl)c3)c1	NONAGG
463	[O-][N+](=O)c1ccccc1C2=N\C(=C/c3ccc(OCc4ccccc4)cc3)\C(=O)O2	NONAGG
465	O=C1OC2(CCCC2)OC(=O)C1=Cc3ccc(OCc4ccccc4)cc3	AGG
467	CC(C)c1ccc(\C=C\2/C(=O)Nc3ccccc23)cc1	AGG
469	Oc1ccc(Cl)cc1\C=N\NC(=O)\C(=C\c2ccccc2)\NC(=O)c3ccccc3	AGG
470	Clc1ccc(\C=C\C(=O)c2cccs2)cc1	NONAGG
471	[O-][N+](=O)c1cc(N\C=C/2\N=C(OC2=O)c3ccc(Br)cc3)ccc1Cl	AGG
472	Cc1ccc2NC(=O)\C(=C/c3ccc(cc3)C(C)(C)C)\c2c1	AGG
473	[O-][N+](=O)c1cccc(c1)C(=O)N\N=C\c2ccc(OCc3ccc(Br)cc3)cc2	AMBIG
474	Oc1c(\C=N\NC(=O)c2cccc(Cl)c2)ccc3ccccc13	AGG
475	[O-][N+](=O)c1ccc(CSc2cn(CCNC(=O)c3cccs3)c4ccccc24)cc1	AGG
478	OC(=O)c1ccc(cc1)\N=C\c2cc(Br)cc(Cl)c2O	NONAGG
479	C(Oc1ccc(\C=N\Nc2nnnn2c3cccc4ccccc34)cc1)c5ccccc5	AGG
480	Cc1ccccc1\C=C\2/C(=O)Nc3ccc(Br)cc23	AGG
481	[O-][N+](=O)c1cccc(c1)C2C=C(Nc3nnnn23)c4ccc(Cl)cc4	AGG
482	Cc1ccc2NC(=O)\C(=C/c3ccc(Br)cc3)\c2c1	AGG
483	Oc1ccc2ccccc2c1\C=N\Nc3nc(cs3)c4ccccc4	AGG
484	Clc1ccc(\C=N\c2ccc3C(=O)NC(=O)c3c2)c(Cl)c1	NONAGG
485	Clc1ccc(\C=C\2/C(=O)Nc3ccc(Cl)cc23)cc1	AGG
486	COc1ccc(\C=C\2/C(=O)Nc3ccccc23)cc1OC	NONAGG
487	Cc1ccc2NC(=O)\C(=C/c3ccccc3)\c2c1	AMBIG
488	Oc1c(Cl)cc(Cl)cc1\C=N\Nc2nc(cs2)c3ccccc3	AGG
489	Oc1ccc(\C=N\NC(=O)C(=O)Nc2cc(Cl)ccc2Cl)c(O)c1	AGG
490	Brc1ccc(N\C=C\2/C(=O)Nc3ccccc23)cc1	AGG
491	O=C1Nc2ccccc2/C/1=C/c3ccccn3	NONAGG
492	Cc1c(O)cc(O)c2C(=O)C(=C(Oc12)c3ccc(O)c(O)c3)O	NONAGG
494	Oc1ccc2ccccc2c1\C=N\NC(=O)C(=O)Nc3cc(Cl)ccc3Cl	AGG
495	[O-][N+](=O)c1ccc(N\C=C\2/C(=O)Nc3ccccc23)cc1	NONAGG
496	Fc1ccccc1\C=C\2/C(=O)Nc3ccccc23	NONAGG
497	OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3	NONAGG
498	CC1=CC(=O)N2N=CN(COCCO)C2=N1	NONAGG
499	C[N+](C)(C)C\C=C/1\COCO1	NONAGG
500	CCCCS(=O)(=O)N=C1NCN(C)CN1	NONAGG
501	C1CN(CCN1C(c2ccccc2)c3ccccc3)c4nc5ccccc5n6cnnc46	NONAGG
502	CC[N+](CC)(CCCS(=O)(=O)[O-])CC#C	NONAGG
503	CCN1C2=C(CCC2)C(=N)C3=C1CCCC3	NONAGG
504	CCOc1cc(O)c(cc1CC)c2n[nH]cc2c3ccccc3	AGG
505	CCCC[n+]1cc([NH-])on1	NONAGG
506	CC1CN(CN2N=C(O)C=CC2=O)CC(C)O1	NONAGG
507	CC(=O)OC1CCC(C(OC(=O)C)C1[N+](C)(C)C)[N+](C)(C)C	NONAGG
508	CCCC1CCC(CC1)c2ccc(cc2)\C(=N\O)\N	AGG
509	CCS(=O)CCSC(=N)N	NONAGG
510	CCN1N=CN=C2C(=O)N(C)C(=O)N=C12	NONAGG
511	Cc1cc2CC(C)(C)n3c(nnc3C(F)(F)F)c2cc1C	NONAGG
512	N#Cc1ccc(cc1)C2Oc3ccccc3C4CC(=NN24)c5ccccc5	AGG
513	CC1(C)CC2(CCO1)NCCN3C2SCC3=O	NONAGG
514	Cc1onc(n1)\C(=N\OC(=O)C2CC2)\N	NONAGG
515	C1CCN(C1)c2nonc2[n+]3nc4nonc4[n-]3	NONAGG
516	S1C=C(N(/C/1=N/c2ccccn2)c3ccccc3)c4ccccc4	NONAGG
517	COC1=CC2(CN(CCBr)CC(C1)(C2)[N+](=O)[O-])[N+](=O)[O-]	NONAGG
518	CCC1(CC)C(=[N+](C)c2ccccc12)C	NONAGG
521	OCCNCC(O)CN1c2ccccc2Sc3ccccc13	NONAGG
522	CN1C(=C(\C=N\NC(=O)C[n+]2ccccc2)C(=O)N(C)C1=O)N	NONAGG
523	CCCSc1nc(N2CCOCC2)c3COC(C)(C)Cc3c1C#N	NONAGG
524	CC(=O)Oc1c(C)[n+](C)cc2COC(C)(C)OCc12	NONAGG
525	CC1=C(\C=N\CCO)C(=O)N(N1)c2c(F)c(F)c(c(F)c2F)C(F)(F)F	NONAGG
526	CCCS(=O)(=O)C(Cl)\C(=C(\C(=O)c1ccc(C)cc1C)/[n+]2ccccc2)\S(=O)(=O)CCC	NONAGG
527	NC1=NC(=O)N(CCC#N)C=C1F	NONAGG
528	CC1=C(COc2c3OC(=O)C=Cc3cc4ccoc24)CC(C)(C)CC1	AGG
530	Cc1ccc(CN2CCN(CC2)\N=C\c3ccc(cc3)C(=O)O)c(C)c1	NONAGG
531	COCc1c(nnn1c2nonc2N)C(=O)OC	NONAGG
532	COC(=O)C(C)NC(=O)C1CCCN1S(=O)(=O)c2cc(C)c(Cl)cc2C	NONAGG
533	[O-][N+](=O)\C(=C(/N1CCOCC1)\n2cncn2)\C(=C(Cl)Cl)Cl	NONAGG
534	CCN(CC)c1ncnc2c1sc3nc(C)cc(C)c23	NONAGG
535	CNC(=O)N(O)C1N(\N=C\2/CCCc3nonc23)C(=S)SC1(C)C	NONAGG
536	CC(C)(C)Nc1nc(NC(C)(C)C)nc(n1)N2CCNCC2	NONAGG
537	CCC1=NC(N=C2C=C(C)C=C(C)N12)(C(F)(F)F)C(F)(F)F	NONAGG
538	Nc1cc(ccc1O)S(=O)(=O)N	NONAGG
539	Cc1csc(n1)C2=C(Oc3cc(O)c(C)cc3C2=O)C(F)(F)F	NONAGG
540	CN(CC(F)(F)C(F)F)S(=O)C12CC3CC(CC(C3)C1)C2	NONAGG
541	CC(Sc1nc2N(C)C(=O)N(C)C(=O)c2n1Cc3cc4OCOc4cc3Cl)C(=O)O	NONAGG
542	CC(=C)CC1=C(C)N=C(N)NC1=O	NONAGG
543	CC(C)OC(=O)C1=C2S\C(=C/c3occc3)\C(=O)N2C(=C(C#N)C1c4occc4)N	NONAGG
544	CCN1CCc2c(C1)sc3NC(NC(=O)c23)c4oc(COc5cccc(c5)C(F)(F)F)cc4	NONAGG
546	CN1CCc2c(C1)nnn2c3ccccc3	NONAGG
547	COCc1cc(C)nc2[nH]nc(N)c12	NONAGG
549	Cc1nc(c2ccccc2)c([nH]1)c3ccccc3	NONAGG
550	OCCN1CCN(CC2=C(O)C(=O)C=C(CO)O2)CC1	NONAGG
551	COc1ccc2S\C(=C/c3sc4ccccc4[n+]3CCCS(=O)(=O)[O-])\N(C)c2c1	NONAGG
552	CC1(C)O[C@H]2OC([C@@H]3OC(C)(C)O[C@@H]3[C@H]2O1)C(=O)NCCC(=O)Nc4nccs4	NONAGG
553	CC1=NC2=C(N=Nc3ccccc3)C(=O)NN2C(=C1)C(F)(F)F	NONAGG
554	CNC(=O)CC1SC(=N)NC1=O	NONAGG
555	[O-]c1on[n+](n1)c2cccc(c2)C(F)(F)F	NONAGG
556	CC1(C)CC(=O)C=C(C1)NNC(=O)CCCCCCCCC=C	NONAGG
557	CC(=O)C1=C(NN2CCOCC2)OC(=CC1=O)C	NONAGG
558	CCC(C)(C)C1=C(C)N(C)C(=N)S1	NONAGG
559	Cn1ncc(c1C(=O)Nc2ccc3[nH]c(nc3c2)c4ccccc4)[N+](=O)[O-]	NONAGG
561	CCOC(=O)N1CCN(CC1)C(=O)c2sc3N=CN(CC(=O)N(CC)CC)C(=O)c3c2C	NONAGG
562	O1c2ccccc2C(c3ccccc13)n4nnc5ccccc45	AGG
563	FC(F)(F)C(C1=NC(N=C(O1)N2CCOCC2)(C(F)(F)F)C(F)(F)F)C(F)(F)F	AMBIG
564	COc1cc(cc(OC)c1OC)C2=NNC(=S)N2CC=C	NONAGG
565	Fc1ccc(Nc2nc3nonc3n4nnnc24)cc1	NONAGG
566	FC(F)(F)C1=CC(=O)n2ncnc2N1	NONAGG
567	Cn1ccnc1CN2CCN(Cc3nccn3C)CC2	NONAGG
568	Nc1nc(F)cc(Oc2ccccc2)n1	NONAGG
569	COc1ccc(cc1OC)\C(=N\OCc2nc3c4c5CC(C)(C)NC(C)(C)c5sc4ncn3n2)\C	NONAGG
570	Nc1nonc1c2nc3ccccc3n2CCCc4nnn[nH]4	NONAGG
571	Cc1cc2c(cc1C)n(CC(O)COC3CCCCC3)c[n+]2C	NONAGG
572	CN1CCN(CC#CCC2(O)c3ccccc3c4ccccc24)CC1	NONAGG
573	CCN1CCn2c3C1CCCc3c4cc(C)ccc24	NONAGG
574	CN1C2=C(C(C3=C(N2)c4ccccc4C3=O)c5ccc(cc5)C(F)(F)F)C(=O)N(C)C1=O	NONAGG
575	COc1ccc(cc1)N2N=C(C#N)C(=C(C#N)C2=N)N	NONAGG
576	COc1nc(OC)nc(OCCCl)n1	NONAGG
577	FC(F)(F)C1(NC2C(Cl)C1CC2OCCCl)C(F)(F)F	NONAGG
578	Fc1ccccc1N2N=NN(C3CC(=O)C4OCC3O4)C2=S	NONAGG
579	Fc1ccc(cc1)n2nc3CS(=O)(=O)Cc3c2NC(=O)c4cc(Cl)ccc4Cl	NONAGG
580	Nc1ccc(cc1)n2ccnc2	NONAGG
581	OCCOCCNc1ncnc2[nH]cnc12	NONAGG
582	O=C(CSC1=Nc2[nH]ncc2C(=O)N1c3cccc4ccccc34)NCc5occc5	NONAGG
583	COc1ccc(cc1)c2nc(nc3[nH]nc(N)c23)N4CCCCC4	NONAGG
585	COc1cc(Cl)c(C)cc1Nc2c(nn(c3cccc(C)c3)[n+]2[O-])[N+](=O)[O-]	AGG
586	CC(=O)N1CCC2(CC1)C\C(=N/NC(=S)Nc3c(C)cc(C)cc3C)\c4cc(O)ccc4O2	NONAGG
588	CCS(=O)(=O)N1CCC(CC1)C(=O)N2CCC(C)CC2	NONAGG
589	C1COc2cc(Nc3c(nc4ncccn34)c5ccsc5)ccc2O1	NONAGG
590	CNC(=O)c1ccccc1NC(=O)C2=C(O)c3cccc4CCN(C2=O)c34	NONAGG
591	CC1=CC=CC2=NC(=CC(=O)N12)CSC3=Nc4ccccc4C5=NC(C(=O)N35)c6ccccc6	NONAGG
592	CC(=O)OC[C@]12CC(OC(=O)CC3CCC3)C(=CC1OC4[C@H](O)[C@@H](OC(=O)C)[C@@]2(C)[C@]45CO5)C	NONAGG
593	Cc1cc(C)n(n1)c2nnc(C)n2\N=C\c3occc3	NONAGG
594	Nc1[nH]ncc1C#N	NONAGG
595	Nc1ccc2C(=O)N(C(=O)c3cccc1c23)c4ccccc4	NONAGG
596	O=C(Nc1nc(cs1)c2ccccc2)c3ccc(cc3)S(=O)(=O)N4CCOCC4	AMBIG
597	CCOc1ccc(NC(=O)c2ccc(OC)cc2)c(c1)[N+](=O)[O-]	NONAGG
598	O=C(NCCc1ccccc1)\C(=C/c2occc2)\NC(=O)c3ccccc3	NONAGG
599	CC\C(=N\NC(=O)CCC(=O)Nc1ccc(I)cc1)\Cc2ccccc2	AGG
600	Cc1ccc(cc1Cl)N2NC(=O)\C(=C\c3ccccc3OCC=C)\C2=O	AGG
601	O=C1NC(=O)\C(=C/c2occc2)\C(=O)N1c3ccccc3	NONAGG
602	CCN1C(=O)c2cccc3c(NC(=O)c4ccc(C)cc4)ccc1c23	NONAGG
603	Cc1c(Cl)c(nn1CC(=O)Nc2cccc(Cl)c2)C(F)(F)F	AGG
604	Cc1cccc(NC(=O)c2ccc(cc2)N(Cc3ccccc3)S(=O)(=O)C)c1	AGG
605	COC(=O)c1ccc(NC(=O)c2cccc(c2)[N+](=O)[O-])cc1	NONAGG
